Ciezar;Ceny;Pojemnosc
[21  5 35  3 26];[13  8  7 15 14];52
[34 19 16  6  3];[11  3 19 11 15];66
[14 48 32  1 34];[11  9  1 18  9];33
[ 5 18 12 38 41];[ 9 16 18 19  8];58
[ 9 35 39 21 10];[ 1 19 14 14 10];63
[ 6 24 22 21  5];[19 15 11  6  4];68
[ 6 41 16  3 20];[ 8 16  4  9  8];42
[12 30 23 16 12];[ 4 14  9 14 13];63
[43  6 45 30  8];[12  1 12  4  7];84
[35 23  7 35 23];[11 12  7 19  6];89
[ 6  6 23 27  5];[7 8 3 1 9];19
[15 18 34 19 31];[6 3 1 8 2];83
[30 17 16 45 18];[14  9  2  4 16];89
[ 2 47 31 47 49];[12 12  8  9 15];80
[11 31 34 26  3];[ 7 13  6  4 10];94
[48 29 33 12  1];[ 5 18 17 18  8];55
[16 44  6 48 42];[15  9 14  5  3];50
[39 13 47 19 39];[12 10  8 14 17];40
[47 31 21 27 26];[ 2  6  7  1 13];96
[49 48 34 24  4];[11 13 18  8 15];86
[34 23 31 27 22];[16  4 11 18 10];60
[26 45 39 36 41];[ 3  5  1 10  7];81
[39 29  6 38  3];[16  4  8 16  8];97
[44 33 39 24 32];[10 14 18  1  3];53
[49 30 35 22 17];[ 7 16  7 19 10];21
[ 6 20  7 22 35];[18  9 18 19  6];98
[ 5 44 34 45  5];[15  9  3 16 14];32
[13 34 15  2 36];[ 2 17 16 16  4];74
[32  7 29 40 27];[ 7 17  5 17 16];99
[38 11 16 42  7];[ 2 15  4  4  4];19
[45 48 23 17  8];[12 13  6  8  4];46
[33 14 37 38 43];[19 19 18 14  8];82
[12 49 38 24 29];[ 8 18 11 19  3];97
[ 2 49 22  2 29];[13 18  8  5  7];88
[48  6 13 35 18];[ 4  8  7  1 14];77
[20 44 36 17 18];[15  2  1 14 15];87
[ 8 19 12 13 22];[ 9 13 17 15 11];63
[11 28 46 33 39];[18  6  1 17  7];84
[17 31 47 12  1];[13 16  7  8  7];54
[20 29  8 30 27];[ 1 10 14 18  7];25
[15 47 36 33 35];[19  5  9 10 17];33
[34 29  1 29 27];[12  5 14  8 12];15
[23 46  2 26 11];[12  4  5 17  9];48
[ 4 22 32 25  8];[ 8  9 16 19 12];52
[33  2 36  3 27];[ 6  2 18  8  4];22
[45 20 25 26 20];[11 17  7  1  8];26
[36 12 14 23 25];[ 4 15 17 12  7];21
[21 36  7 31  1];[ 1  7 12  1 16];62
[27 28 18 40 20];[10  1  3 15  3];86
[32 35 38 37 33];[18  1  5  6  6];73
[18 17 20 10 49];[16  5  4 13  2];54
[14 17 17 26 21];[ 7  5  4 13 13];64
[38 45 31 48 36];[13 10  9  7  9];95
[38  8 26 42 11];[ 6 15 13 14 11];77
[14 38  4 35  5];[ 5  7 17 13  7];54
[49 35 41 12 30];[18 16  1 18  3];47
[14  4  5 49  9];[14 18  1  8  4];78
[32  3 38 35 23];[ 6 16  3 14  7];29
[34 45 37 18 32];[19 13 12  9  3];46
[21 41 49 25 13];[18  6  1 16  6];59
[ 5 38 10 26 11];[11 11  1 19  5];96
[ 4 33 27 48 18];[16  1  6 13  7];49
[43 30 18  4 20];[12 18 14  1 14];29
[18 22 25 43 31];[10 12 17 16  9];32
[47  8  3 11 37];[12 14 14 11  6];48
[28 29  3 43 44];[12  5 10  5 15];76
[44  7 37 22 10];[ 1  1  9  3 18];65
[ 5 46 30 21 49];[19 16  8 14 12];95
[29 12 13  7 28];[ 9  4 17  4 11];39
[ 2 42 23 28 39];[ 2  5  3  1 16];82
[18 25 28  2 39];[ 8  3  2  5 13];44
[20 13 40 39  1];[ 3 12  4  7  2];96
[ 8 16 22 12 39];[18 15 13 10  4];40
[20 36 22  1 39];[ 6 10  1 15  8];24
[ 4 37 26  7 29];[ 5 15 10  9 11];57
[28  3 19 15 32];[14  3 13  4 18];24
[23 34 27 39 35];[14  6 12 14  1];24
[49 45 32 30 17];[10 16 17  4  8];87
[29 26 45 38 18];[6 4 6 3 3];60
[45 14 27 19  7];[15 15  7 18 12];70
[46  4 20 23 11];[14  7  5 16  3];74
[ 2 13 49 47 27];[12 12 13  4 18];96
[11 24 15  4 49];[ 5 13 14  4 10];15
[ 3 36 15 15 10];[19  8  5 11 16];25
[32 35  2 19 37];[ 8  2 11 17 16];89
[ 4 35 32 46 17];[ 4  6 19  2  3];26
[ 5 38 22 26 32];[15  8 13  8 17];97
[44 35 12 10 38];[19  7  7  6 10];15
[38 36 14 22 36];[11  9 16 15 10];99
[46 18 22 18 41];[15  9 10  8  4];54
[ 6  5 38 20 30];[12  5 11  3  9];82
[14 45 25 41 48];[19 15 18  4 12];22
[25  7 25  1 21];[15  3  9 15  9];37
[38  7  6 34 26];[18  6  8  3 15];47
[24 33 47 37 22];[16  3 16 18 11];68
[16 13 18 47 45];[10  5 15  5  4];97
[25 32 23 18 28];[10 19  6  5 13];31
[ 6 19 49 15 17];[ 5 10  5  4 19];60
[39 23 38 25 34];[10 17 15 19  9];75
[35 48 42 34 14];[19  1 16  3 13];94
[20 34 24 36 17];[ 9 19  6  3 12];92
[20  7 41 37 48];[13 11  3  5  2];65
[ 9 28 30  8 24];[ 8  3  3  6 19];86
[18 10 21 43 29];[16  1  7 16  1];88
[30 49 43 34 37];[14 16  8  7 14];80
[18 32  3  8 41];[ 7 19 10  3 12];53
[ 2 29 38 49 12];[ 8 18 17 19  4];65
[47 29 34 39 21];[ 7 19 13  7 19];37
[13 22  5 20 47];[11  2 18  5  7];98
[42 37 16  1 14];[2 9 1 6 8];42
[ 4 12 22  4 26];[10 17  6  6 18];18
[ 8 26 10 47 38];[11 14 15 16 14];36
[13  2  3 20 49];[14  1  8  2 14];98
[21 27 22  9 17];[ 6  2  8 10 19];47
[30 16 35  4 18];[ 8  4  6  5 19];91
[ 9 22 37 19 47];[14  6  4 16 15];73
[45 47 27 35 24];[2 4 4 1 5];63
[ 2 11 11 25  6];[3 5 7 9 7];82
[14 49 13  1 18];[12  7 10 13  3];48
[ 5 39 10 17 18];[ 5 13  1 17  8];15
[19  5  1  4 48];[ 8  1 19 19  6];26
[31 14 11 12 49];[10 14 11 10  5];34
[35  7 43 22  3];[ 5  7  5 13 11];22
[42 28 32 38 28];[16 10  8  4 18];25
[16 20 25 40  1];[14  6  9  8 16];74
[23 43 10 22 28];[6 3 6 2 6];39
[26 24 25 17 42];[ 4  7  2  6 11];55
[30 15 32 49 33];[ 7  6  1  7 17];59
[ 2 46 25 14 33];[ 2 17  5  1  1];69
[17 28  3 14 28];[16 18  1  5  6];81
[31  5 30 36  7];[ 4 12 18 19 18];91
[32 27 11 21 31];[18 13 12  8  4];88
[49  8 33 15 49];[19 10  1 13  4];77
[46 17 28 39 28];[ 9 17 14 16  2];94
[43 32  1 26 45];[ 9  1 16 11  3];69
[36 46 34 21 47];[14 17 18 10  9];39
[47 16 42  2 45];[ 2 11 13 13 16];43
[27  8  3 33 15];[18  4  1 16 12];58
[ 5  1 46 37 24];[ 6 11 10  1 10];43
[21 33 12  3 31];[15  6 14  6 17];63
[39  1 15  8 12];[19 19  8  3  4];21
[31 19 17 30 29];[ 4  9  8  8 17];21
[41 31 27 21 26];[17  4  2 14 14];95
[34 12 42 26 20];[19 10  7 17 19];16
[24 36 20 19 40];[19 13 19 17 10];15
[ 5  4 49  5  2];[12 18 16  6 17];30
[49 17 13 46  3];[12 16  4  1 10];76
[34 47 16 16 25];[12 16 10 17 10];29
[46 13 12 48 35];[7 3 3 4 3];58
[22 17 41 28 46];[13  2  9  2  4];57
[ 2  8 36 14 25];[10  7 16  5 12];34
[14 31 26 43 20];[ 7 14 11 16  9];80
[41 18 18 14 41];[10  5 18  3  5];71
[29 43 34 21  3];[ 9 15  9 13 10];32
[47  7 22 42  1];[ 4 18  6  6  7];78
[ 2 36 16 39 21];[12 12  3 15 16];58
[44  2 22 38 16];[10  3  7 14 13];53
[ 2 17 12 33 34];[ 5  2  7 15  8];15
[19 37 18 47 34];[16 11 18  9  4];25
[38 38 42 21 27];[ 4  6  2  7 18];65
[17 31 34 29 26];[17  2 11 11  4];39
[ 5  2  3 45 39];[14  1  1  8 15];62
[37 14 41  1 22];[16  3 11 11 15];91
[23 13 25  3  7];[ 7 18  8  5  8];67
[34 29 38  5 41];[ 4  8 17  5  1];36
[19 28 36 46 44];[ 8 19  8  1  5];19
[18 49 34 48 11];[17  3 13  6  7];25
[24 49 25  7 31];[13  3  7 11  5];71
[18  6 14 13 18];[ 8 14  7 10  7];89
[ 5 32 42 44  9];[ 7  2 17 16  5];41
[49 46 36 39 27];[ 2  4 13 17  1];22
[34  2 12  7 34];[ 2 16  9 14  4];29
[32 43 30 15 35];[10 16 16 16 12];86
[23 44 43 33  1];[ 5 18  8  2  5];24
[32 24 33 46 41];[11 18 19 16  3];77
[15 46 12 26  1];[ 5 18 14 11 12];61
[30 33  8  3 29];[14 16  9 14 16];96
[43 43 32 32  9];[16  2 15 15 17];21
[22  8  9 29 33];[11  4  1  3 15];93
[ 6 29 21 28 17];[10  2  7  7  8];30
[41 36 24 15 35];[17  9 14 15  3];31
[ 3 33 23 25 33];[ 3  8 10 18  8];99
[ 4 38  6 30 43];[14  7 12  7  8];82
[20 21 42 19 18];[ 3 12 17 18  8];87
[25 20 47 44  6];[ 3 15  5 16  2];19
[16  5 49 38  9];[16  2 14 14 18];96
[17 16 11 39 48];[ 7  3 18 13  3];72
[14 16 47 13 13];[ 1  1  2 15 19];28
[30  5 18 48 44];[ 7  4 12  2 17];62
[18  7 44 13 11];[ 9  5  7 18 10];17
[46 27 19 40 19];[11 13  6 13 13];63
[20 34 40 22 10];[14  8  5  1 17];32
[10 20 36 22 38];[ 7 16  4  6 11];21
[10 38  3 20 21];[ 9 17  1 15 16];27
[ 2  4 33 18 15];[12 19 12  5  6];67
[15 14 42 48  5];[ 2  5  5  7 18];44
[14 13 24 30 20];[ 3 17  5 10 10];87
[10 20 44 18  9];[ 6 12  1 18  4];70
[33 43 38  7 19];[15  6 13 15  4];27
[30 19 31 13 16];[ 8 19 17  5  8];38
[ 4 25  1 36 39];[18 15  3 10 19];95
[16 13 21 26 38];[ 8  7  3  8 11];18
[ 8 15  6 46 33];[10 12 15  5  3];29
[ 2 47 38 30 46];[18  6 16 18 16];30
[46 10 22 15  9];[12  1  6  6 10];42
[23 37 44 29 26];[12 11  6  5 12];61
[22  3 34 29 25];[11 15  8 11  5];17
[15 49  7 20 30];[ 6 19  9  6 15];34
[24 20 28 16 42];[15  9  4  1  9];57
[38 23 20  9 17];[ 9  1 11 13 17];77
[ 9 44 14 22 14];[ 3  8  6  6 16];50
[ 8 44 35 17 44];[ 9 15  5  3  7];64
[38 49  2 26  8];[19 13 18 11  8];51
[41  8 33 10 39];[ 9  6  3  6 11];49
[31 45 13 39 33];[11 10 12 11 16];58
[40 33 31 20 27];[ 8 19 12 18  7];59
[30 25  2 30  3];[13 17 10 16 10];96
[26 44 16 42 40];[12  7  7  7 13];63
[ 6 33 20 11 12];[11 18  4  1  8];61
[25 47 13  5 31];[ 8  1 13  5 13];84
[19 40 31 39 35];[14  3 19  6  8];31
[31 19 44 10  7];[ 2 15  5 11 13];40
[14 36  9 34 31];[12 14 16  1 12];18
[22  2 43 19 14];[ 1 15 14 13 12];61
[ 1  5 13 24 10];[14  9  5  2  7];47
[23 14 41 12  9];[ 4 14  2 18 10];31
[29 21 39 22 30];[15  3  8 14  6];89
[44 21 19 19 42];[ 2 11 12  8  2];24
[44 42 15 48 14];[10  5 18 19  6];67
[16 45 13 34  1];[18  8  7 15 17];50
[22 38 15 27 20];[ 3 16 10 14 16];16
[40 10 19 31 48];[ 9  6 14 12  2];73
[35 23 16  6 10];[12 16  4  1  5];72
[27  5 44 43 44];[17  7  5  6  4];70
[48 22  5 16  2];[11 17  8  3 12];73
[19 23 21 31 46];[ 9 18  5  2  9];93
[ 8 43 33 42 40];[ 8 12 19 12 16];18
[44 28 44 41 24];[ 9  8  7  6 14];66
[28 18 32 41 44];[ 7 10 11  3  9];52
[28 33  5 21 40];[ 6  3  1 18 10];28
[14 43 47 31 33];[11 14  4  2 11];21
[36 18 28 24 43];[19 19 18  7 17];26
[29 21 15 39  9];[14  2  6 17 17];77
[ 2 40 28 21 18];[ 8  1 13  3 11];60
[45  7 22 42 41];[ 8  6  9  5 15];30
[42 44 25 19 35];[ 2  2 16 12 19];62
[14 23 13 42 29];[ 5  2 13  5 14];18
[21 15 25 41  1];[13  8  5 18 14];69
[35 44 38 27 33];[ 5 10  4  9 10];26
[16  5 48  1 40];[12  9  7  8 14];54
[44 23 36 23 26];[13  1 15 13 10];69
[39 22  2  5 27];[13 15  9 19 17];16
[ 9 25 44 42 29];[15  7  6  1  4];26
[46 47 25 21 49];[ 7 15 15  5 18];44
[30 24  6  3 46];[18 11 18 18  3];78
[43 40 48 32 32];[14  7  6 17 16];23
[40 26 28 20 41];[14 19 19  6  3];67
[13 14 47 27 40];[16 16  8 18 18];63
[ 4 23 46 24 28];[19 19 15  4 10];34
[26 26 21 47 43];[10 13 15  9  4];45
[27 23 49 12  9];[ 8 15 12 14 11];90
[22 19 36 36 37];[ 7 18  2  4 18];43
[26 36 20 27 42];[3 9 4 5 5];81
[44 24 10 11 21];[ 4  8  3 18  4];71
[42  9 42 13 21];[19 18 19  6 14];29
[39 40 45 26 44];[ 5 14  4 16  5];79
[30 26 17 16 18];[ 8 11 11  7  2];94
[ 8 21 22 18  6];[10  3  5 11  3];97
[28 30 30 41 26];[10 11  8 12 11];47
[33 21 23 23 30];[ 4 14  9 17 10];58
[32  5 22 10 41];[13 16  5  5  3];52
[14 34 24 30 24];[15  2 14 11 12];47
[ 6  1 30 38 39];[16 13  2  1 12];23
[29  2 25 31 36];[ 7  6  6 13 13];48
[17  8 40 31 21];[18  4  8 16  5];27
[ 3  7 36 34 42];[14  9 17  4 16];60
[41 49 12  5  2];[12 12  5  6 17];67
[32 14 14 29 30];[ 4  8  3 18  5];39
[10  8 31 39 15];[15 13 13 15 12];69
[17 20  3 32 39];[ 8  2  2 17 12];95
[ 7 12 12 33 21];[ 4 13  7  4 15];15
[30 27  4  6 33];[ 6 10  4 15  9];32
[20 25  4 39 26];[ 9  9 16  7 11];54
[11 14 14 40 42];[ 7 10  9  5 10];59
[ 3 33 35 43 42];[ 6 14 17  8  1];31
[ 8 31 41 20 37];[15  1 16 14  4];18
[21 44 35  6 24];[11 13  7  6  3];52
[23 24 12 20 15];[12  4 14  4  5];63
[21 32 49 42 37];[13 15 15 18 16];40
[31 13 33 48 19];[11  1 14  7  8];21
[27 20 12 29 46];[ 5 15 11 12 19];48
[34 44 29 23 41];[ 8 19 17 17 18];78
[25  2 32  9 44];[16  1  2 15  7];58
[10 36 11 41 35];[ 7 14 10 10 16];95
[ 4  2 26 24  3];[19  5  5 18 12];79
[18 11  9 46 20];[19 15 18  1  4];25
[25 31 26 46 47];[ 9 19  7 15 18];43
[ 7 27 47  6 28];[14 16  6 15  1];26
[15 28 30 43 44];[ 4 12 19 15 10];31
[44 35 17  6 26];[15  6 13  4 19];98
[14 46 44 31 41];[18 13 10 12  3];84
[43 36 46 27  6];[ 2 17  9 16  5];47
[ 1 14 26 26 48];[19 19 10  1 14];72
[41 42 29 17 33];[16 16 18 15 17];59
[27 21 22  8  4];[9 6 8 6 3];45
[35  6  4 21 45];[ 5 12 15 14  9];51
[33 37 37 34 13];[ 2 16 12  7 12];44
[15 49 29 14  7];[ 9 16  7 18  3];57
[26 31 13  7 18];[12  3 10  4 14];54
[22 44  8 37 21];[10  9 15 10 17];50
[32 36 37 20 48];[19 19  7 10  9];37
[29 27 48  6  3];[ 7  6  5 13  5];63
[ 2 12 19 14 48];[12 19 14  1  1];55
[20 17 13 24 16];[ 4 16 18  5  9];83
[13 29 45 13  1];[14 10  5 18 15];50
[17  3 20 47 28];[ 8  5  1 15  1];65
[17  6 49 40  9];[ 4 17  5 14 10];97
[11 34 43 26  7];[13 12 18 13  1];91
[28 47 38 30  6];[11  8 14  7 18];85
[44 13  6 40 10];[18 11  5 12  2];86
[40 33 34 32 36];[19 10 13 16  2];97
[43 12 28 40 36];[12  4  1 15 15];88
[12  1 39 37 47];[ 2 16  5  5 15];60
[44 39 35 41 49];[18  7  7  8  9];71
[40 26 49 16 23];[ 2 19  5 19 13];51
[41  4 22  2 26];[ 4  9  5  4 18];79
[20  2 28 24 14];[ 3 11  3 19 14];15
[ 4 17 44 25 45];[ 8  4 15  7  6];80
[ 5 49 47 48 14];[ 2  5 10 19 13];75
[33 10 18  1 43];[10 15  3 13 12];65
[ 5 18  2 12 24];[ 3  7 14  7 10];24
[26  3  8 12 24];[12  2 17 16 19];43
[17 45 23 10 34];[14  9  4  2  4];28
[38 29 23 19 45];[ 9 15 14 18  5];55
[ 4 48 12 25  2];[ 7 17 12 17  4];59
[ 5 12 26  2 20];[13  9 15 13  8];17
[46  7 47 32 21];[18  3  9 12 17];35
[ 6  6 45 27 17];[8 7 2 7 2];28
[26  5 49 39 33];[ 1  2 11  9  4];20
[32  3 43 46 35];[ 9 14 16 19  4];56
[32 21 36 34 29];[11  6 16  6 19];39
[18 43 47  1 36];[19 10 17 19  1];38
[28  4  9 24 41];[ 8  2  1  3 15];35
[34 29 22 11 30];[17  8 17  9 17];62
[ 9 24  8 26 20];[17  3 12  6 14];86
[19  7 33  2  5];[ 6 13  2 19 14];73
[13 13 20  1 45];[10  8  3  5 13];89
[33 42 46 21  1];[ 5 15 15  2 13];92
[43 23 45 47 43];[11 10  1  5 19];24
[ 6 22 20  4 47];[12  5 19 19  7];99
[38 38  6 29 46];[17  8 11 12 16];95
[20  8 24 41 43];[13 16  5  8  9];58
[40 19 25 21 14];[12  1 17 10  2];95
[43 31 16 12 23];[11 11  3  8  9];59
[23  9  8 49 42];[16 19 17 11 13];80
[44 23 37 11 24];[ 6  4 10  6  3];17
[11 21 17 30  2];[14  4  7 11  9];75
[38 12 15  1 28];[ 1 19  8 12  2];37
[12 22 14  9 19];[ 4  7 10  6  7];75
[22 33 40  5  6];[ 2  3 13 12  5];82
[24 45  5 24 42];[ 4 17  7  3 10];36
[14 26 49 21 17];[15 13  6 13 17];55
[29 47 31  2 13];[19  2  3  5 11];26
[ 5 26 38 10 49];[ 8 11 16 13 12];57
[33  8 17 32 12];[ 3  1 12  4  1];70
[16 35 28 32 24];[ 7  4  3 17  6];73
[ 6 12 34 22 41];[19  6 18 18  5];78
[37 35  9 19 42];[17  5 18  9  8];33
[47  8 14  9 38];[ 5  3  3  7 18];49
[37 21 30 36 39];[17 19  9 16 17];62
[ 7  7 24  8 30];[ 4 18  3 18 18];29
[19 40  1 16  2];[ 8 10 14 16 16];93
[35 20 38  2 10];[18 11 14 17  4];16
[10 42  5 31 31];[12  8 17 17 13];38
[32 36 13 12 14];[ 6 15 10 15  1];96
[41  9  4 44  3];[16 16 16  8 12];51
[47 47 14 36 47];[11  9 16  8 19];41
[21 38 21 38 17];[15  6 15 11  1];27
[34 11  8 13 28];[ 2 10 18 14  3];67
[26  2 32 45 18];[18 19  9 14  6];17
[11  1  5 10 35];[14 16 13  1 10];27
[ 4 31 21 26 26];[14 13 10  3  6];49
[45  6 42 46 22];[ 3 15 14  6  6];23
[38  3  8 11 48];[16  8  4  2  2];92
[40 40 13  8 25];[ 8  2  4 17  7];68
[26 16  1 30 36];[3 8 5 2 9];25
[30  9 24 15 23];[11  7 18  8 16];67
[23 29 12 13  2];[ 4  9  5 18 18];16
[14 12 33 34 22];[11 13 17  9  2];55
[32  5  2 43 36];[ 2 12  7  7 19];25
[ 2 16 42 32 33];[13  9 12  9 14];89
[39 32  8 11 36];[13  1  4 16  1];48
